No,ImageNoX,ImageNoY,ImageNoZ,ElpsLabel,ObjLabel,Average,GravX,GravY,Angle,MjrAx,MnrAx,X2,Status,DepthAve
0,0.0,0.0,1.0,0.0,2.0,0.0,478.127,92.635,-41.543,39.027,38.774,9.976,0.0,0.0
1,0.0,0.0,1.0,1.0,3.0,0.0,284.394,114.011,85.281,37.951,37.725,9.778,0.0,0.0
2,0.0,0.0,1.0,2.0,4.0,0.0,123.5,243.432,-3.172,38.605,38.401,9.874,0.0,0.0
3,0.0,0.0,1.0,3.0,7.0,0.0,110.739,406.988,-26.656,38.91,38.689,9.95,0.0,0.0
4,1.0,0.0,1.0,0.0,1.0,0.0,648.947,57.799,39.911,38.608,38.346,9.943,0.0,0.0
5,1.0,0.0,1.0,1.0,2.0,0.0,887.224,81.362,81.427,38.346,38.232,9.894,0.0,0.0
6,1.0,0.0,1.0,2.0,3.0,0.0,687.667,135.492,85.315,38.999,38.975,9.998,0.0,0.0
7,1.0,0.0,1.0,3.0,4.0,0.0,1019.825,139.229,-25.128,38.16,37.993,9.839,0.0,0.0
8,1.0,0.0,1.0,4.0,5.0,0.0,986.992,245.12,102.379,37.392,36.309,9.871,0.0,0.0
9,1.0,0.0,1.0,5.0,6.0,0.0,863.005,260.814,94.235,38.35,38.113,9.879,0.0,0.0
10,1.0,0.0,1.0,6.0,7.0,0.0,879.407,301.45,49.362,38.59,38.307,9.935,0.0,0.0
11,1.0,0.0,1.0,7.0,8.0,0.0,775.231,342.77,76.188,38.893,38.769,9.958,0.0,0.0
12,2.0,0.0,1.0,0.0,2.0,0.0,1546.483,89.322,109.793,38.446,38.313,9.917,0.0,0.0
13,2.0,0.0,1.0,1.0,3.0,0.0,1486.608,154.432,20.696,38.95,38.712,9.958,0.0,0.0
14,2.0,0.0,1.0,2.0,4.0,0.0,1352.603,260.884,-35.826,39.109,38.791,9.988,0.0,0.0
15,2.0,0.0,1.0,3.0,5.0,0.0,1311.653,310.189,101.151,38.645,38.152,9.847,0.0,0.0
16,2.0,0.0,1.0,4.0,9.0,0.0,1500.826,414.177,-1.623,40.045,37.829,9.909,0.0,0.0
17,3.0,0.0,1.0,0.0,0.0,0.0,1953.304,79.056,53.918,38.899,38.554,9.931,0.0,0.0
19,3.0,0.0,1.0,2.0,2.0,0.0,1963.767,256.446,94.278,39.039,38.573,9.951,0.0,0.0
20,3.0,0.0,1.0,3.0,3.0,0.0,2074.492,347.703,14.364,38.519,38.377,9.935,0.0,0.0
21,3.0,0.0,1.0,4.0,4.0,0.0,2089.262,411.34,48.181,39.029,38.866,9.988,0.0,0.0
