<ImageInformation>
ImageNumX,10
ImageNumY,13
ImageNumZ,1
ImageSizeX,2500
ImageSizeY,1800
OverlapX,100
OverlapY,100
UmPerPixelX,0.24
UmPerPixelY,0.24
UmPerLayerZ,1000
ImageFormat,1
ImageQuality,10
</ImageInformation>
<GrabPositionInformation>
XNo,YNo,ZNo,PosX[nm],PosY[nm],PosZ[nm]
</GrabPositionInformation>
<DepthImageInformation>
ImageNumZ,0
ImageSizeX,0
ImageSizeY,0
UmPerPixelX,0
UmPerPixelY,0
UmPerLayerZ,0
ImageFormat,0
ImageQuality,0
</DepthImageInformation>
<Result>
ProcArea,30551040
</Result>
<ResultDatas>
No,ImageNoX,ImageNoY,ImageNoZ,ElpsLabel,ObjLabel,Average,GravX,GravY,Angle,MjrAx,MnrAx,X2,Status,DepthAve
0,0,0,0,0,0,0,93.59,39.067,77.524,36.891,36.81,9.75,0,0
1,0,0,0,1,1,0,48.531,84.182,7.601,37.405,32.885,9.725,0,0
2,0,0,0,2,1,0,52.104,53.579,-1.301,37.875,33.973,9.944,0,0
3,0,0,0,3,2,0,558.11,55.721,90.954,37.961,37.594,9.838,0,0
4,0,0,0,4,3,0,375.238,100.868,73.512,36.797,36.218,9.737,0,0
5,0,0,0,5,5,0,415.896,164.341,75.918,37.385,36.874,9.745,0,0
6,0,0,0,6,6,0,368.84,227.646,87.749,37.76,37.323,9.853,0,0
7,0,0,0,7,8,0,511.219,304.559,121.902,38.377,38.066,9.954,0,0
8,1,0,0,0,3,0,1051.861,43.712,101.27,37.101,36.629,9.753,0,0
9,1,0,0,1,4,0,1088.135,158.219,72.054,37.575,37.235,9.818,0,0
10,1,0,0,2,5,0,886.973,211.355,55.263,37.366,37.063,9.768,0,0
11,1,0,0,3,6,0,1154.727,234.2,116.964,37.293,37.01,9.751,0,0
12,1,0,0,4,7,0,911.135,254.036,85.757,36.938,36.619,9.731,0,0
13,1,0,0,5,8,0,735.913,281.183,52.547,37.365,37.053,9.767,0,0
14,1,0,0,6,9,0,710.872,384.919,62.834,38.325,37.964,9.857,0,0
15,1,0,0,7,10,0,854.8,402.861,53.961,38.629,38.459,9.96,0,0
16,2,0,0,0,0,0,1687.873,28.615,53.912,37.491,37.296,9.894,0,0
17,2,0,0,1,1,0,1438.865,76.535,87.582,36.828,36.689,9.726,0,0
18,2,0,0,2,2,0,1199.145,84.75,31.947,36.75,36.675,9.714,0,0
19,2,0,0,3,3,0,1698.265,103.602,77.054,37.55,37.275,9.82,0,0
21,2,0,0,5,8,0,1276.356,280.79,48.156,37.131,37.053,9.736,0,0
22,2,0,0,6,9,0,1727.609,317.27,114.525,38.032,37.853,9.881,0,0
23,2,0,0,7,10,0,1351.169,324.52,53.741,37.348,37.028,9.761,0,0
24,2,0,0,8,11,0,1354.055,379.476,-25.758,37.937,37.833,9.866,0,0
25,3,0,0,0,0,0,2280.484,40.449,103.666,37.293,37.034,9.754,0,0
26,3,0,0,1,1,0,2188.127,131.001,129.625,37.355,36.973,9.755,0,0
27,3,0,0,2,2,0,1874.57,159.679,76.204,37.338,36.836,9.734,0,0
28,3,0,0,3,3,0,1758.708,177.59,35.517,36.883,36.543,9.714,0,0
29,3,0,0,4,5,0,2143.665,220.77,123.8,37.736,37.338,9.775,0,0
