<ImageInformation>
ImageNumX,10
ImageNumY,13
ImageNumZ,2
ImageSizeX,2500
ImageSizeY,1800
OverlapX,100
OverlapY,100
UmPerPixelX,0.24
UmPerPixelY,0.24
UmPerLayerZ,1000
ImageFormat,1
ImageQuality,10
</ImageInformation>
<GrabPositionInformation>
XNo,YNo,ZNo,PosX[nm],PosY[nm],PosZ[nm]
</GrabPositionInformation>
<DepthImageInformation>
ImageNumZ,0
ImageSizeX,0
ImageSizeY,0
UmPerPixelX,0
UmPerPixelY,0
UmPerLayerZ,0
ImageFormat,0
ImageQuality,0
</DepthImageInformation>
<Result>
ProcArea,30551040
</Result>
<ResultDatas>
No,ImageNoX,ImageNoY,ImageNoZ,ElpsLabel,ObjLabel,Average,GravX,GravY,Angle,MjrAx,MnrAx,X2,Status,DepthAve
0,0,0,1,0,1,0,350.795,38.375,74.521,31.644,31.584,9.047,0,0
1,0,0,1,1,2,0,507.116,135.593,-21.796,31.992,31.909,9.058,0,0
2,0,0,1,2,3,0,475.035,148.22,54.805,32.081,32.001,9.084,0,0
3,0,0,1,3,4,0,194.527,202.482,3.307,31.838,31.675,9.088,0,0
4,0,0,1,4,5,0,432.87,255.788,86.06,31.542,31.456,9.014,0,0
5,0,0,1,5,6,0,491.32,397.05,51.042,32.374,32.209,9.155,0,0
8,1,0,1,2,2,0,860.427,100.918,45.804,31.338,31.203,9.034,0,0
9,1,0,1,3,3,0,817.93,129.714,102.412,31.948,31.842,9.042,0,0
10,1,0,1,4,4,0,1106.155,268.497,122.715,32.047,31.987,9.077,0,0
11,1,0,1,5,5,0,869.327,313.68,31.665,32.093,31.89,9.07,0,0
12,1,0,1,6,6,0,1036.934,317.788,44.013,32.168,32.002,9.096,0,0
13,1,0,1,7,7,0,681.676,387.882,127.633,32.048,31.94,9.07,0,0
14,2,0,1,0,0,0,1417.494,209.957,26.733,31.899,31.861,9.038,0,0
15,2,0,1,1,1,0,1656.212,231.887,-35.999,32.841,32.737,9.211,0,0
17,2,0,1,3,3,0,1675.265,262.323,-32.809,31.919,31.78,9.029,0,0
18,2,0,1,4,4,0,1194.026,348.634,71.129,32.354,32.247,9.157,0,0
20,2,0,1,6,6,0,1732.834,385.826,42.17,30.949,30.779,8.917,0,0
21,3,0,1,0,0,0,2044.203,262.413,88.938,31.363,31.237,8.957,0,0
22,4,0,1,0,1,0,2416.033,48.382,43.384,31.871,31.747,9.018,0,0
23,4,0,1,1,2,0,2714.645,162.692,115.983,31.394,31.121,8.945,0,0
24,4,0,1,2,3,0,2648.59,220.885,126.697,31.473,31.374,8.992,0,0
25,4,0,1,3,4,0,2533.496,226.702,66.701,31.847,31.679,9.005,0,0
27,5,0,1,0,0,0,3336.973,201.788,41.673,31.357,31.201,8.951,0,0
28,5,0,1,1,1,0,2934.171,244.499,35.424,32.116,31.97,9.084,0,0
29,5,0,1,2,2,0,2976.426,388.595,86.709,32.495,32.393,9.114,0,0
30,6,0,1,0,0,0,3694.048,73.502,-32.559,31.41,31.388,8.985,0,0
31,6,0,1,1,1,0,3901.084,206.994,-41.33,31.57,31.353,8.92,0,0
32,6,0,1,2,2,0,3499.06,223.526,31.78,32.312,32.232,9.149,0,0
33,6,0,1,3,3,0,3770.482,274.497,65.056,31.694,31.61,9.058,0,0
