<ImageInformation>
ImageNumX,10
ImageNumY,13
ImageNumZ,1
ImageSizeX,2500
ImageSizeY,1800
OverlapX,100
OverlapY,100
UmPerPixelX,0.24
UmPerPixelY,0.24
UmPerLayerZ,1000
ImageFormat,1
ImageQuality,10
</ImageInformation>
<GrabPositionInformation>
XNo,YNo,ZNo,PosX[nm],PosY[nm],PosZ[nm]
</GrabPositionInformation>
<DepthImageInformation>
ImageNumZ,0
ImageSizeX,0
ImageSizeY,0
UmPerPixelX,0
UmPerPixelY,0
UmPerLayerZ,0
ImageFormat,0
ImageQuality,0
</DepthImageInformation>
<Result>
ProcArea,30551040
</Result>
<ResultDatas>
No,ImageNoX,ImageNoY,ImageNoZ,ElpsLabel,ObjLabel,Average,GravX,GravY,Angle,MjrAx,MnrAx,X2,Status,DepthAve
0,0,0,0,0,2,0,326.802,46.682,61.361,32.022,31.936,9.066,0,0
1,0,0,0,1,3,0,484.328,139.761,28.455,32.685,32.468,9.151,0,0
2,0,0,0,2,4,0,446.016,154.337,126.856,32.382,32.305,9.17,0,0
3,0,0,0,3,5,0,166.607,208.516,65.208,32.135,31.86,9.071,0,0
4,0,0,0,4,6,0,407.49,262.594,93.669,32.77,32.678,9.193,0,0
5,0,0,0,5,7,0,461.332,402.297,73.355,33.072,32.9,9.183,0,0
7,1,0,0,1,1,0,838.225,111.734,73.998,32.066,31.758,9.047,0,0
8,1,0,0,2,2,0,793.745,137.675,3.003,32.328,32.198,9.147,0,0
9,1,0,0,3,3,0,1085.148,283.403,4.924,32.631,32.547,9.155,0,0
10,1,0,0,4,4,0,845.472,323.924,92.455,32.418,32.193,9.158,0,0
11,1,0,0,5,5,0,1009.572,330.727,-17.834,32.316,32.122,9.134,0,0
12,1,0,0,6,7,0,659.098,397.396,-28.317,32.357,32.181,9.149,0,0
13,2,0,0,0,0,0,1394.504,224.635,44.95,32.539,32.191,9.176,0,0
14,2,0,0,1,1,0,1634.62,243.068,86.147,32.64,32.565,9.159,0,0
